"File_Name" "Network_Group_Name" "Network_Name" "Source" "Pubmed_ID"
"46" "Co-expression.Ariazi-Jordan-2011.txt" "Co-expression" "Ariazi-Jordan-2011" "GEO" 22011582
"47" "Co-expression.Arijs-Rutgeerts-2009.txt" "Co-expression" "Arijs-Rutgeerts-2009" "GEO" 19956723
"48" "Co-expression.Balgobind-den_Boer-2011.txt" "Co-expression" "Balgobind-den Boer-2011" "GEO" 20971820
"49" "Co-expression.Barnes-Colbert-2009.txt" "Co-expression" "Barnes-Colbert-2009" "GEO" 19565513
"50" "Co-expression.Barnes-Glass-2010.txt" "Co-expression" "Barnes-Glass-2010" "GEO" 20662067
"51" "Co-expression.Barretina-Singer-2010.txt" "Co-expression" "Barretina-Singer-2010" "GEO" 20601955
"52" "Co-expression.Baty-Brutsche-2006.txt" "Co-expression" "Baty-Brutsche-2006" "GEO" 17010189
"53" "Co-expression.Beane-Spira-2007.txt" "Co-expression" "Beane-Spira-2007" "GEO" 17894889
"54" "Co-expression.Berchtold-Cotman-2008.txt" "Co-expression" "Berchtold-Cotman-2008" "GEO" 18832152
"55" "Co-expression.Berkofsky-Fessler-Hilton-2009.txt" "Co-expression" "Berkofsky-Fessler-Hilton-2009" "GEO" 19755512
"56" "Co-expression.Bhojwani-Carroll-2006.txt" "Co-expression" "Bhojwani-Carroll-2006" "GEO" 16822902
"57" "Co-expression.Bigler-Russell-2013.txt" "Co-expression" "Bigler-Russell-2013" "GEO" 23308107
"58" "Co-expression.Bild-Nevins-2006_A.txt" "Co-expression" "Bild-Nevins-2006 A" "GEO" 16273092
"59" "Co-expression.Bild-Nevins-2006_C.txt" "Co-expression" "Bild-Nevins-2006 C" "GEO" 16273092
"60" "Co-expression.Bjornsdottir-O'Toole-2011.txt" "Co-expression" "Bjornsdottir-O'Toole-2011" "GEO" 21779351
"61" "Co-expression.Blader-Boothroyd-2001.txt" "Co-expression" "Blader-Boothroyd-2001" "SUPPLEMENTARY_MATERIAL" 11294868
"62" "Co-expression.Bonome-Birrer-2008.txt" "Co-expression" "Bonome-Birrer-2008" "GEO" 18593951
"63" "Co-expression.Bos-Massague-2009.txt" "Co-expression" "Bos-Massague-2009" "GEO" 19421193
"64" "Co-expression.Botling-Micke-2013.txt" "Co-expression" "Botling-Micke-2013" "GEO" 23032747
"65" "Co-expression.Broyl-Sonneveld-2010.txt" "Co-expression" "Broyl-Sonneveld-2010" "GEO" 20574050
"66" "Co-expression.Burczynski-Dorner-2006.txt" "Co-expression" "Burczynski-Dorner-2006" "GEO" 16436634
"67" "Co-expression.Chang-Katzenellenbogen-2008.txt" "Co-expression" "Chang-Katzenellenbogen-2008" "GEO" 18258689
"68" "Co-expression.Chapman-Golub-2011.txt" "Co-expression" "Chapman-Golub-2011" "GEO" 21430775
"69" "Co-expression.Chen-Hessner-2014.txt" "Co-expression" "Chen-Hessner-2014" "GEO" 24760139
"70" "Co-expression.Chen-Yeatman-2010.txt" "Co-expression" "Chen-Yeatman-2010" "GEO" 19266279
"71" "Co-expression.Chen-Zhao-2008.txt" "Co-expression" "Chen-Zhao-2008" "GEO" 18669583
"72" "Co-expression.Cheok-Evans-2003.txt" "Co-expression" "Cheok-Evans-2003" "GEO" 12704389
"73" "Co-expression.Chibon-Aurias-2010.txt" "Co-expression" "Chibon-Aurias-2010" "GEO" 20581836
"74" "Co-expression.Chin-Gray-2006.txt" "Co-expression" "Chin-Gray-2006" "GEO" 17157792
"75" "Co-expression.Chng-Fonseca-2007.txt" "Co-expression" "Chng-Fonseca-2007" "GEO" 17409404
"76" "Co-expression.Chowdary-Mazumder-2006.txt" "Co-expression" "Chowdary-Mazumder-2006" "GEO" 16436632
"77" "Co-expression.Chuang-Kipps-2012.txt" "Co-expression" "Chuang-Kipps-2012" "GEO" 22837534
"78" "Co-expression.Clarke-Clynes-2013.txt" "Co-expression" "Clarke-Clynes-2013" "GEO" 23740839
"79" "Co-expression.Cliff-Dockrell-2013.txt" "Co-expression" "Cliff-Dockrell-2013" "GEO" 22872737
"80" "Co-expression.Coelho-Hearing-2015.txt" "Co-expression" "Coelho-Hearing-2015" "GEO" 25417821
"81" "Co-expression.Compagno-Pasqualucci-2009.txt" "Co-expression" "Compagno-Pasqualucci-2009" "GEO" 19412164
"82" "Co-expression.Corvol-Baranzini-2008.txt" "Co-expression" "Corvol-Baranzini-2008" "GEO" 18689680
"83" "Co-expression.Coustan-Smith-Campana-2011.txt" "Co-expression" "Coustan-Smith-Campana-2011" "GEO" 21487112
"84" "Co-expression.Creighton-Chang-2012.txt" "Co-expression" "Creighton-Chang-2012" "GEO" 21750966
"85" "Co-expression.Cuadras-Greenberg-2002.txt" "Co-expression" "Cuadras-Greenberg-2002" "SUPPLEMENTARY_MATERIAL" 11932413
"86" "Co-expression.D'Alfonso-Shin-2013.txt" "Co-expression" "D'Alfonso-Shin-2013" "GEO" 23774991
"87" "Co-expression.Day-Maxwell-2011.txt" "Co-expression" "Day-Maxwell-2011" "GEO" 21619611
"88" "Co-expression.De_Jager-Oksenberg-2009.txt" "Co-expression" "De Jager-Oksenberg-2009" "GEO" 19525953
"89" "Co-expression.Demmer-Papapanou-2008.txt" "Co-expression" "Demmer-Papapanou-2008" "GEO" 18980520
"90" "Co-expression.Den_Boer-Pieters-2009_A.txt" "Co-expression" "Den Boer-Pieters-2009 A" "GEO" 19138562
"91" "Co-expression.Den_Boer-Pieters-2009_B.txt" "Co-expression" "Den Boer-Pieters-2009 B" "GEO" 19138562
"92" "Co-expression.Der-Tsao-2014.txt" "Co-expression" "Der-Tsao-2014" "GEO" 24305008
"93" "Co-expression.Desmedt-Sotiriou-2007.txt" "Co-expression" "Desmedt-Sotiriou-2007" "GEO" 17545524
"94" "Co-expression.Detweiler-Falkow-2001.txt" "Co-expression" "Detweiler-Falkow-2001" "SUPPLEMENTARY_MATERIAL" 11320214
"95" "Co-expression.Dombroski-Spielman-2010.txt" "Co-expression" "Dombroski-Spielman-2010" "GEO" 20398888
"96" "Co-expression.Driscoll-Munshi-2010.txt" "Co-expression" "Driscoll-Munshi-2010" "GEO" 19965618
"97" "Co-expression.Einecke-Halloran-2010.txt" "Co-expression" "Einecke-Halloran-2010" "GEO" 20501945
"98" "Co-expression.Elashoff-Topol-2011_A.txt" "Co-expression" "Elashoff-Topol-2011 A" "GEO" 21443790
"99" "Co-expression.Elashoff-Topol-2011_B.txt" "Co-expression" "Elashoff-Topol-2011 B" "GEO" 21443790
"100" "Co-expression.Elashoff-Topol-2011_C.txt" "Co-expression" "Elashoff-Topol-2011 C" "GEO" 21443790
"101" "Co-expression.Ellis-Mardis-2012.txt" "Co-expression" "Ellis-Mardis-2012" "GEO" 22722193
"102" "Co-expression.Feng-Cheng-2014.txt" "Co-expression" "Feng-Cheng-2014" "GEO" 25141350
"103" "Co-expression.Filipits-Gnant-2011.txt" "Co-expression" "Filipits-Gnant-2011" "GEO" 21807638
"104" "Co-expression.Finak-Park-2006.txt" "Co-expression" "Finak-Park-2006" "GEO" 17054791
"105" "Co-expression.Finak-Park-2008.txt" "Co-expression" "Finak-Park-2008" "GEO" 18438415
"106" "Co-expression.Folkersen-Paulsson-Berne-2012.txt" "Co-expression" "Folkersen-Paulsson-Berne-2012" "GEO" 22371308
"107" "Co-expression.Fountzilas-Fountzilas-2013.txt" "Co-expression" "Fountzilas-Fountzilas-2013" "GEO" 23950933
