"","x"
"280","itb7_human"
"281","ita5_human"
"282","itax_human"
"283","idh3b_human"
"284","idh3g_human"
"285","idh3a_human"
"286","divalent metal cation"
"287","kcnd2_human"
"288","kcnd3_human"
"289","kcnh2_human"
"290","abcc8_human"
"291","kcj11_human"
"292","suv91_human"
"293","kif3b_human"
"294","kif3c_human"
"295","kifa3_human"
"296","kif3a_human"
"297","xrcc6_human"
"298","kcnq1_human"
"299","cbx3_human"
"300","lamb1_human"
"301","mad1_human"
"302","hdac1_human"
"303","mta2_human"
"304","mta1_human"
"305","chd3_human"
"306","chd4_human"
"307","p66b_human"
"308","p66a_human"
"309","md2l1_human"
"310","cdc20_human"
"311","bub3_human"
"312","mcl1_human"
"313","md1l1_human"
"314","med7_human"
"315","med8_human"
"316","med22_human"
"317","med27_human"
"318","med19_human"
"319","med26_human"
"320","med1_human"
"321","med31_human"
"322","med17_human"
"323","med11_human"
"324","med16_human"
"325","med18_human"
"326","med30_human"
"327","med28_human"
"328","med4_human"
"329","med14_human"
"330","med6_human"
"331","med21_human"
"332","med20_human"
"333","med9_human"
"334","med25_human"
"335","men1_human"
"336","anm5_human"
"337","ms18a_human"
"338","kat6b_human"
"339","kat6a_human"
"340","msh2_human"
"341","msl1_human"
"342","kat8_human"
"343","mmrn1_human"
"344","mmrn2_human"
"345","max_human"
"346","ndus8_human"
"347","nduaa_human"
"348","nduv2_human"
"349","ndus7_human"
"350","nduv1_human"
"351","ndus3_human"
"352","ndus2_human"
"353","ndus1_human"
"354","spc25_human"
"355","ndc80_human"
"356","nfyb_human"
"357","nfya_human"
"358","nkx25_human"
"359","nsf1c_human"
"360","kanl2_human"
"361","kanl1_human"
"362","mo4l1_human"
"363","mbtd1_human"
"364","kat2b_human"
"365","phf10_human"
"366","taf6l_human"
"367","q8nbp7-pro_0000027121"
"368","q8nbp7-pro_0000027120"
"369","pdgfb_human"
"370","pdgfa_human"
"371","pgfra_human"
"372","pgfrb_human"
"373","pdgfc_human"
"374","pfkal_human"
"375","becn1_human"
"376","pk3c3_human"
"377","beta-d-fructofuranose 1,6-bisphosphate"
"378","q13201-pro_0000367048"
"379","plk4_human"
"380","dpoa2_human"
"381","pri2_human"
"382","ncoa1_human"
"383","ncoa2_human"
"384","dicer_human"
"385","prkra_human"
"386","bbc3_human"
"387","t2fb_human"
"388","rir1_human"
"389","iron(3+)"
"390","rir2_human"
"391","rir2b_human"
"392","rara_human"
"393","nr1h3_human"
"394","nr1h2_human"
"395","nr1i2_human"
"396","rxra_human"
"397","p10827-2"
"398","rxrb_human"
"399","p63165-pro_0000035939"
"400","sae1_human"
"401","sae2_human"
"402","atx7_human"
"403","ubp22_human"
"404","at7l3_human"
"405","te2ip_human"
"406","acd_human"
"407","tinf2_human"
"408","terf2_human"
"409","terf1_human"
"410","shld3_human"
"411","shld2_human"
"412","sap30_human"
"413","rbbp7_human"
"414","ing2_human"
"415","hdac2_human"
"416","brms1_human"
"417","cac1s_human"
"418","mi4gd_human"
"419","smad4_human"
"420","smad1_human"
"421","smad2_human"
"422","smad3_human"
"423","imb1_human"
"424","sodc_human"
"425","copper(2+)"
"426","at1a1_human"
"427","cg(2'5')_pa(3'5')p"
"428","ubc9_human"
"429","p55854-pro_0000035957"
"430","q6eev6-pro_0000042710"
"431","tpsn_human"
"432","trbp2_human"
"433","top3b_human"
"434","yap1_human"
"435","nop10_human"
"436","dkc1_human"
"437","gar1_human"
"438","terc_human_rna"
"439","tert_human"
"440","rmrp_human_rna"
"441","tf2aa_human"
"442","taf6_human"
"443","taf12_human"
"444","taf11_human"
"445","taf8_human"
"446","taf5_human"
"447","taf3_human"
"448","taf2_human"
"449","taf1_human"
"450","taf10_human"
"451","taf9_human"
"452","taf4_human"
"453","tgfr2_human"
"454","tgfr1_human"
"455","p01137-pro_0000033763"
"456","p61812-pro_0000033785"
"457","p10600-pro_0000033797"
"458","titin_human"
"459","pai1_human"
"460","q15661-pro_0000027480"
"461","p20231-pro_0000027482"
"462","ub2v1_human"
"463","ube2n_human"
"464","ulk1_human"
"465","atg13_human"
"466","urok_human"
"467","vtnc_human"
"468","usf1_human"
"469","vapa_human"
"470","ufd1_human"
"471","tera_human"
"472","vps4a_human"
"473","ahnk_human"
"474","ncbp3_human"
"475","o60895-pro_0000030172"
"476","ramp1_human"
"477","pcsk9_human"
"478","a16l1_human"
"479","a16l2_human"
"480","atp4a_human"
"481","atrip_human"
"482","smca2_human"
"483","smrc1_human"
"484","ubl4a_human"
"485","bap1_human"
"486","baz1a_human"
"487","ttc8_human"
"488","bbs7_human"
"489","b2cl2_human"
"490","q07820-1"
"491","rad51_human"
"492","bard1_human"
"493","brcc3_human"
"494","rmi1_human"
"495","blm_human"
"496","tnnt2_human"
"497","c1qa_human"
"498","roaa_human"
"499","p01024-pro_0000005911"
"500","smcr8_human"
"501","caf1a_human"
"502","akap5_human"
"503","cac1c_human-1"
"504","cyta_human"
"505","ncbp2_human"
"506","cdk3_human"
"507","cdk12_human"
"508","cdk13_human"
"509","ccnl1_human"
"510","ccnl2_human"
"511","cdk9_human"
"512","ccny_human"
"513","q15131-1"
"514","cd5r1_human"
"515","cd5r2_human"
"516","smca1_human"
"517","stil_human"
"518","o60894-pro_0000030168"
"519","dpoe3_human"
"520","p11230-pro_0000000315"
"521","p36544-pro_0000000366"
"522","q9gzz6-pro_0000000376"
"523","bmal1_human"
"524","myc_human"
"525","co4a1_human"
"526","co4a5_human"
"527","co8a1_human"
"528","coba1_human"
"529","cnd2_human"
"530","cndh2_human"
"531","fad(3-)"
"532","coq4_human"
"533","coq9_human"
"534","ince_human"
"535","per3_human"
"536","stn1_human"
"537","lef1_human"
"538","ccna1_human"
"539","ccna2_human"
"540","ccnb1_human"
"541","ccnb3_human"
"542","ccnd1_human"
"543","ccnd3_human"
"544","ccne1_human"
"545","ccne2_human"
"546","rnc_human"
"547","dpod3_human"
"548","e2f1_human"
"549","if4a3_human"
"550","rbm8a_human"
"551","eme2_human"
"552","p07992-1"
"553","gtp"
"554","erf1_human"
"555","chmp7_human"
"556","chmp6_human"
"557","amp(2-)"
"558","di3l1_human"
"559","ssrp1_human"
"560","fos_human"
"561","1433z_human"
"562","frat1_human"
"563","frat2_human"
"564","p13726-pro_0000033638"
"565","tad2a_human"
"566","gabr1_human"
"567","pgtb1_human"
"568","pgtb2_human"
"569","sufu_human"
"570","nmde1_human"
"571","nmde3_human"
"572","gpv_human"
"573","jade2_human"
"574","jade3_human"
"575","q9y251-pro_0000042260"
"576","sos1_human"
"577","nemo_human"
"578","jak2_human"
"579","tyk2_human"
"580","sosb2_human"
"581","sossc_human"
"582","sosb1_human"
"583","arp5_human"
"584","uchl5_human"
"585","in80e_human"
"586","mcrs1_human"
"587","arp8_human"
"588","nos2_human"
"589","itb3_human"
"590","ita4_human"
"591","itb1_human"
"592","itb2_human"
"593","kcip2_human"
"594","kcip1_human"
"595","kcne1_human"
"596","kcne2_human"
"597","o60706-2"
"598","rrp8_human"
"599","sir1_human"
"600","xrcc5_human"
"601","lmbl1_human"
"602","lamc1_human"
"603","mbd3_human"
"604","bub1b_human"
"605","apr_human"
"606","med10_human"
"607","med29_human"
"608","med23_human"
"609","med24_human"
"610","med15_human"
"611","jund_human"
"612","mep50_human"
"613","icln_human"
"614","ms18b_human"
"615","brpf1_human"
"616","brd1_human"
"617","brpf3_human"
"618","msh3_human"
"619","msh6_human"
"620","ms3l1_human"
"621","myb_human"
"622","fe4s4 iron-sulfur cluster"
"623","fad"
"624","fe2s2 iron-sulfur cluster"
"625","fmn(3-)"
"626","fe-s cluster"
"627","spc24_human"
